Рагу з гливами і гарбузом,250,117,5.28,15.12,4.3
Редиска печена,250,60,2.73,9.77,0.35
Рис з маслом,250,263.125,4.325,45.775,6
Рис з овочами,250,248,4,37.75,9.5
Сир в клярі,250,781.25,48.25,13.25,13.25
Спагетті з баклажанами,250,360,11.25,56.5,9.75
Спагетті з овочами,250,158,7.77,4.8,12.75
Спагетті з солодким перцем,250,158,7.77,4.8,12.75
Стейк з капусти,250,23,8,25,11
Тушкований перець,250,175,3.2,11.6,12.88
Фрікасе овочеве,250,318,22.5,23,8.75
Сочевиця,250,234,19.75,35.15,1.23
Шпарагівка тушкована в сметані,250,597,32.5,80,17.5
Шпарагівка фрі,250,597,32.5,80,17.5
Шпинат тушкований у вершках,250,159,7,11,8.75
Капуста цвітна запечена з горіховим соусом,150,128,8.74,4.43,8.34
Картопля молода з кропом,100,61,2.4,12.4,0.4
Батат смажений,150,177,3.6,36,0.4
Картопля з маслом,200,184,4.08,23.5,5.02
Банош,200,274,8,24,14
Тофу смажений,200,88,25.6,14.4,19.2
Тофу з овочами,250,2218,18,14,10
Локшина по-тайськи,200,289,14,26,14
Спаржа,200,44,4.8,4.22,0.44
Карі з тофу,250,442.9,38.75,10.5,27.5
Броколі зі смаженим нутом,300,180,12,15,9
Горохове пюре зелене,400,466,26.6,68,12
Кіноа з грибами,200,192,42,22.2,6.6
Броколі в клярі,300,238,14.7,9.6,16.2
Карі з соєвої спаржі,200,650,25.4,116.4,27.6
Картопля в сметані,250,241,7.93,17.92,10.82
Тофу запечений з гарбузом,250,287.5,8,37.5,13.5
Картопля запечена з броколі,200,165.2,7.8,40,6.4
