Десерт з шоколадними кульками та апельсином,150,190,5.85,23.7,7.35
Гранола з йогуртом,150,615,12.45,91.2,22.8
Гаряча канапка з шинкою,150,430,19.8,39.3,21.6
Гаряча канапка з грибами,150,361,11,30.4,21.1
Вівсянка з молоком,150,155,4.35,23.85,2.85
Вершки з чорницею,150,345,4.05,25.5,25.5
Вершки з полуницею,150,345,4.05,25.5,25.5
Вершки з ожиною,150,345,4.05,25.5,25.5
Вершки з малиною,150,345,4.05,25.5,25.5
Вершки з джемом,150,345,4.05,25.5,25.5
