Салат з моркви та огірка,120,68,0.97,3.52,4.92
Кавун з маринованою цибулею,130,217,15.07,2.59,16.35
Салат помідор жовтий та сир,150,86,1.22,4.39,6.15
Салат з соєвої спаржі,150,660,6.9,9,0.3
Кімчі,120,85,1.2,8.4,4.2
Салат з грибами Муер,120,48.72,4.92,9,0.36
Салат із буряків з бобовими,120,78,2.17,11.92,2.41
Салат з крабових паличок,120,150,5.76,13.2,8.4
Салат з плавленим сиром,170,603,28.9,2.72,52.87
Салат зі шпинату та помідору,100,135.4,5.7,11.2,2.6
Салат овочевий з нутом,120,176,10,21.24,7.06
Салат з кіноа,150,166,5.55,12.45,10.8
Спрінг-роли з грибами,150,205,5.4,25.35,8.55
Салат з тофу,150,104,12.15,5.25,3.45
Салат з капусти з горошком,120,41,2.3,6.04,1.01
Овочі заправлені кунжутною олією та гірчицею,100,54,1.81,7.96,1.5
Салат з язиком,110,210,6.08,10.67,14.47
